 DeMarcus Cousins	SAC	48 	34.4 	9.4 	20.6 	45.4 	 	1.8 	4.7 	37.3 	 	7.7 	10.0 	77.5 	 	2.1 	8.4 	10.5 	 	4.4 	3.5 	1.4 	1.4 	3.7 	28.2 	 
 Anthony Davis	NO	46 	36.1 	10.2 	20.3 	49.9 	 	0.5 	1.7 	28.9 	 	7.1 	8.9 	79.5 	 	2.3 	9.9 	12.3 	 	2.2 	2.6 	1.3 	2.4 	2.3 	27.9 	 
 Kevin Durant	GS	49 	34.2 	9.3 	17.1 	54.3 	 	1.9 	5.1 	38.0 	 	5.6 	6.4 	87.2 	 	0.7 	7.7 	8.4 	 	4.8 	2.3 	1.1 	1.7 	1.9 	26.1 	 
 LeBron James	CLE	45 	37.5 	9.5 	18.1 	52.7 	 	1.6 	4.5 	35.5 	 	5.0 	7.2 	69.2 	 	1.3 	6.7 	8.0 	 	8.6 	4.2 	1.5 	0.5 	1.6 	25.7 	 
 Giannis Antetokounmpo	MIL	47 	35.2 	8.4 	16.1 	52.2 	 	0.7 	2.5 	28.6 	 	5.5 	7.0 	78.5 	 	2.0 	6.7 	8.7 	 	5.5 	3.0 	1.8 	2.0 	3.3 	23.1 	 
 Carmelo Anthony	NY	50 	33.7 	8.3 	19.1 	43.5 	 	2.0 	5.7 	36.0 	 	4.3 	5.2 	83.1 	 	0.8 	5.2 	6.1 	 	2.9 	1.9 	0.8 	0.4 	2.6 	23.0 	 
 Paul George	IND	41 	35.7 	7.8 	17.3 	45.1 	 	2.3 	6.0 	38.5 	 	4.6 	5.0 	92.6 	 	0.8 	5.2 	6.0 	 	3.3 	2.9 	1.7 	0.3 	2.6 	22.6 	 
 Blake Griffin	LAC	29 	33.1 	7.9 	16.1 	48.7 	 	0.2 	0.8 	21.7 	 	5.2 	7.0 	74.8 	 	2.0 	6.7 	8.7 	 	4.7 	2.5 	1.0 	0.5 	2.6 	21.1 	 
 Harrison Barnes	DAL	49 	35.8 	8.2 	17.3 	47.4 	 	1.0 	3.0 	34.0 	 	2.9 	3.4 	86.2 	 	1.4 	4.0 	5.4 	 	1.5 	1.3 	0.9 	0.2 	1.6 	20.4 	 
 Joel Embiid	PHI	31 	25.4 	6.5 	13.8 	46.6 	 	1.2 	3.2 	36.7 	 	6.2 	7.9 	78.3 	 	2.0 	5.9 	7.8 	 	2.1 	3.8 	0.9 	2.5 	3.6 	20.2 	 
 Jabari Parker	MIL	48 	34.2 	7.8 	16.1 	48.6 	 	1.3 	3.5 	37.3 	 	3.1 	4.3 	74.0 	 	1.6 	4.5 	6.1 	 	2.8 	1.8 	1.0 	0.4 	2.2 	20.1 	 
 Kevin Love	CLE	41 	31.5 	6.4 	15.0 	42.5 	 	2.6 	6.8 	37.5 	 	4.6 	5.3 	86.6 	 	2.5 	8.5 	11.0 	 	1.9 	2.0 	0.8 	0.3 	1.9 	19.9 	 
 Kristaps Porzingis	NY	43 	33.2 	6.9 	15.2 	45.2 	 	1.9 	5.0 	37.9 	 	3.0 	3.8 	79.4 	 	1.7 	5.4 	7.1 	 	1.3 	1.8 	0.7 	2.0 	3.9 	18.7 	 
 Rudy Gay	SAC	30 	33.8 	6.7 	14.7 	45.5 	 	1.4 	3.8 	37.2 	 	3.9 	4.6 	85.5 	 	1.2 	5.2 	6.3 	 	2.8 	2.5 	1.5 	0.9 	2.6 	18.7 	 
 Paul Millsap	ATL	46 	34.1 	6.4 	14.5 	43.9 	 	1.2 	3.7 	32.7 	 	3.9 	5.2 	74.9 	 	1.8 	6.4 	8.2 	 	3.8 	2.2 	1.5 	1.0 	2.6 	17.9 	 
